video1.mat
Observer: Lluis
Session: 3
2 [1.835000e+002 39 16 16] 
2 [189 50 0 0] ss
3 [172 6.750000e+001 61 61] ross
7 [179 6.750000e+001 61 61] ross
8 [95 7.650000e+001 49 49] fibi
9 [172 77 60 60] ross
14 [134 87 32 32] fibi
15 [104 75 46 46] rachel
17 [8.250000e+001 6.750000e+001 47 47] fibi
18 [1.905000e+002 6.350000e+001 43 43] ross
19 [94 6.950000e+001 43 43] fibi
20 [1.925000e+002 56 44 44] ross
21 [9.550000e+001 6.850000e+001 39 39] fibi
22 [167 65 48 48] ross
23 [93 7.050000e+001 43 43] fibi
25 [8.750000e+001 6.650000e+001 45 45] fibi
26 [1.975000e+002 6.450000e+001 51 51] ross
28 [7.750000e+001 7.450000e+001 45 45] fibi
29 [7.850000e+001 6.850000e+001 45 45] fibi
30 [1.445000e+002 61 44 44] rachel
31 [91 76 44 44] fibi
31 [2.185000e+002 53 38 38] ross
32 [1.235000e+002 76 44 44] fibi
32 [205 5.250000e+001 47 47] ross
34 [1.405000e+002 1.025000e+002 59 59] rachel
36 [1.325000e+002 5.550000e+001 47 47] rachel
37 [166 7.050000e+001 43 43] monica
38 [1.205000e+002 66 59 59] fibi
40 [129 5.650000e+001 43 43] chedler
41 [1.555000e+002 9.450000e+001 73 73] ross
44 [9.150000e+001 6.750000e+001 43 43] chedler
44 [133 113 40 40] monica
45 [141 1.065000e+002 39 39] monica
45 [88 7.050000e+001 45 45] chedler
46 [88 6.850000e+001 48 48] chedler
48 [1.135000e+002 8.350000e+001 53 53] chedler
49 [1.155000e+002 78 54 54] chedler
51 [1.865000e+002 75 60 60] monica
52 [1.975000e+002 7.650000e+001 57 57] monica
53 [6.150000e+001 66 25 25] joey
54 [177 4.250000e+001 35 35] monica
55 [193 68 42 42] chedler
55 [86 105 44 44] monica
56 [1.355000e+002 87 48 48] joey
57 [1.845000e+002 60 44 44] chedler
57 [82 9.050000e+001 39 39] monica
60 [9.550000e+001 83 32 32] monica
61 [1.095000e+002 6.450000e+001 47 47] joey
62 [115 62 44 44] joey
64 [148 56 52 52] joey
65 [1.445000e+002 66 44 44] joey
66 [7.050000e+001 95 42 42] monica
66 [1.825000e+002 5.550000e+001 45 45] chedler
67 [6.950000e+001 88 38 38] monica
67 [2.015000e+002 5.250000e+001 39 39] chedler
68 [91 66 48 48] joey
68 [2.365000e+002 1.045000e+002 47 47] monica
69 [109 6.750000e+001 57 57] joey
70 [1.925000e+002 5.350000e+001 41 41] chedler
71 [1.355000e+002 68 54 54] joey
74 [173 70 54 54] fibi
76 [197 48 40 40] monica
77 [1.475000e+002 77 55 55] fibi
79 [116 74 56 56] monica
80 [1.825000e+002 7.250000e+001 57 57] ross
81 [1.735000e+002 72 56 56] ross
83 [1.195000e+002 7.450000e+001 55 55] fibi
84 [108 84 40 40] fibi
85 [123 7.650000e+001 65 65] fibi
86 [1.125000e+002 6.550000e+001 21 21] monica
87 [1.205000e+002 61 24 24] monica
88 [124 7.450000e+001 50 50] fibi
89 [1.195000e+002 89 50 50] fibi
90 [182 78 64 64] ross
91 [1.595000e+002 7.850000e+001 55 55] ross
92 [1.625000e+002 6.650000e+001 63 63] fibi
93 [1.575000e+002 77 62 62] fibi
94 [164 8.250000e+001 63 63] ross
95 [179 72 64 64] ross
96 [1.865000e+002 7.550000e+001 67 67] ross
97 [143 8.050000e+001 59 59] fibi
98 [147 7.450000e+001 65 65] fibi
99 [1.475000e+002 68 70 70] fibi
100 [1.155000e+002 7.950000e+001 65 65] fibi
104 [1.825000e+002 5.750000e+001 49 49] ross
105 [1.855000e+002 6.950000e+001 49 49] ross
107 [1.365000e+002 6.550000e+001 47 47] chedler
108 [1.705000e+002 6.550000e+001 49 49] monica
109 [1.035000e+002 65 44 44] chedler
110 [1.725000e+002 6.350000e+001 45 45] monica
113 [1.225000e+002 5.750000e+001 43 43] rachel
114 [105 5.250000e+001 39 39] chedler
115 [1.215000e+002 5.550000e+001 41 41] rachel
116 [101 52 42 42] chedler
116 [2.115000e+002 9.250000e+001 37 37] monica
117 [1.325000e+002 52 40 40] rachel
118 [154 66 54 54] rachel
119 [139 70 52 52] rachel
120 [1.075000e+002 5.250000e+001 45 45] chedler
120 [2.155000e+002 94 42 42] monica
121 [1.395000e+002 66 58 58] rachel
124 [189 68 48 48] monica
125 [98 65 50 50] rachel
126 [196 66 54 54] monica
127 [166 56 50 50] chedler
130 [1.355000e+002 6.050000e+001 51 51] monica
131 [2.165000e+002 55 58 58] rachel
132 [6.950000e+001 71 38 38] monica
132 [2.165000e+002 58 42 42] rachel
133 [150 7.450000e+001 51 51] chedler
134 [195 46 32 32] chedler
135 [133 58 28 28] rachel
138 [1.495000e+002 7.750000e+001 63 63] ross
139 [53 6.950000e+001 35 35] mulata1
139 [120 5.850000e+001 35 35] rubia1
139 [2.145000e+002 5.050000e+001 33 33] castanya1
140 [1.245000e+002 71 72 72] ross
141 [1.495000e+002 88 78 78] ross
143 [144 66 58 58] fibi
144 [7.150000e+001 7.750000e+001 53 53] mulata1
144 [1.905000e+002 64 54 54] rubia1
146 [76 77 46 46] mulata1
146 [1.935000e+002 55 40 40] rubia1
147 [124 58 52 52] fibi
148 [2.315000e+002 5.050000e+001 37 37] castanya1
149 [136 8.550000e+001 61 61] ross
150 [1.655000e+002 69 64 64] castanya1
151 [91 92 50 50] fibi
153 [1.375000e+002 9.250000e+001 57 57] ross
154 [155 9.150000e+001 63 63] ross
156 [217 7.650000e+001 57 57] ross
157 [141 75 52 52] fibi
158 [213 72 56 56] ross
160 [1.445000e+002 75 44 44] fibi
161 [137 60 58 58] fibi
162 [231 6.450000e+001 35 35] castanya1
163 [1.805000e+002 71 48 48] ross
165 [114 59 46 46] ross
166 [79 8.050000e+001 57 57] rubia1
167 [8.250000e+001 8.050000e+001 55 55] rubia1
167 [2.255000e+002 7.050000e+001 55 55] castanya1
170 [147 73 50 50] monica
171 [148 70 44 44] chedler
172 [159 60 52 52] chedler
173 [176 50 46 46] chedler
174 [143 8.250000e+001 51 51] chedler
176 [197 76 48 48] chedler
177 [1.335000e+002 70 46 46] monica
180 [1.895000e+002 1.215000e+002 23 23] rachel
181 [127 8.350000e+001 43 43] monica
182 [1.655000e+002 7.050000e+001 53 53] rachel
183 [138 8.350000e+001 57 57] monica
184 [1.375000e+002 84 52 52] monica
185 [191 7.250000e+001 63 63] rachel
187 [1.415000e+002 72 44 44] monica
188 [106 7.550000e+001 37 37] monica
189 [110 88 40 40] monica
190 [179 7.450000e+001 61 61] rachel
192 [223 6.850000e+001 29 29] 
192 [1.405000e+002 3.450000e+001 -1 -1] rachel
193 [2.255000e+002 62 32 32] rachel
194 [124 7.950000e+001 52 52] monica
195 [203 110 42 42] rachel
196 [151 76 52 52] rachel
199 [188 6.750000e+001 57 57] joey
200 [168 63 44 44] joey
